country,year_week,total_runners,distance,duration
Germany,2020-2,1607,12.009520421052631,65.8432
Romania,2020-2,15,12.325173076923077,66.03301282051282
Morocco,2020-2,2,17.50166666666667,88.19166666666666
Belarus,2020-2,19,12.027884615384616,69.29166666666666
Venezuela,2020-2,26,11.844639175257733,72.10876288659794
New Zealand,2020-2,43,10.567499999999999,58.254008438818566
Gibraltar,2020-2,2,8.736,48.413333333333334
Iran,2020-2,1,6.330000000000001,32.955555555555556
Namibia,2020-2,1,10.07,62.0
Malaysia,2020-2,54,10.110242236024845,62.99699792960662
Botswana,2020-2,1,14.815,53.55833333333334
France,2020-2,691,11.81515890688259,63.13578778677463
Ivory Coast,2020-2,1,8.035,55.083333333333336
Belgium,2020-2,166,12.017382470119522,64.79395750332004
Portugal,2020-2,68,12.126461904761904,64.18492063492064
Montenegro,2020-2,1,7.01,37.67916666666667
Italy,2020-2,427,12.512381227436824,65.60173285198556
El Salvador,2020-2,9,10.886636363636365,71.26262626262626
Jordan,2020-2,3,11.705555555555556,64.01296296296296
Bahamas,2020-2,1,6.5225,37.75833333333333
Latvia,2020-2,11,10.205,57.123333333333335
South Korea,2020-2,59,12.18892222222222,65.04259259259258
Moldova,2020-2,5,15.31,78.71410256410256
Russia,2020-2,251,12.014081481481483,68.5458230452675
Kazakhstan,2020-2,10,10.449714285714286,68.09619047619049
Lebanon,2020-3,1,15.142857142857142,81.07857142857142
New Zealand,2020-3,44,11.37372049689441,63.92256728778467
Cape Verde,2020-3,1,8.029,51.0
Cyprus,2020-3,13,10.8765,58.84094202898551
Denmark,2020-3,233,12.6544,63.44931972789116
Gibraltar,2020-3,2,8.791428571428572,53.99761904761905
Myanmar,2020-3,2,14.241428571428571,76.71904761904761
Jersey,2020-3,17,10.332033898305085,52.92175141242938
Guatemala,2020-3,45,11.781263157894736,64.76040100250627
Finland,2020-3,39,12.679137404580153,69.86043256997456
South Africa,2020-3,112,10.84754593175853,63.952974628171475
Azerbaijan,2020-3,2,13.234333333333334,83.85
Uruguay,2020-3,4,18.479153846153846,82.61666666666666
Angola,2020-3,4,12.61923076923077,61.562820512820515
Belarus,2020-3,17,13.564982142857144,79.61309523809523
Spain,2020-3,404,11.589051587301586,59.0558201058201
Germany,2020-3,1600,12.335467951403436,67.53391635246474
Costa Rica,2020-3,117,10.970349753694583,60.086042692939245
Argentina,2020-3,50,12.126058510638298,64.0302304964539
Anguilla,2020-3,1,3.0650000000000004,28.891666666666662
Malta,2020-3,2,9.389,52.245000000000005
South Korea,2020-3,59,11.523893023255814,68.05387596899224
Belgium,2020-3,161,12.454523421588595,67.46364562118127
Jordan,2020-3,4,12.231,67.59833333333333
Hungary,2020-3,36,12.628105691056911,72.08468834688347
Faroe Islands,2020-3,5,12.315882352941177,69.76274509803922
Croatia,2020-3,20,12.629821428571429,73.79375
Canada,2020-3,850,11.737331580676962,63.76233979625369
Liechtenstein,2020-3,1,2.8,16.633333333333333
Romania,2020-3,16,12.10449019607843,65.1016339869281
South Sudan,2020-3,1,10.940000000000001,75.175
Peru,2020-3,41,11.286163120567375,63.09609929078014
Kuwait,2020-3,1,8.7575,55.87083333333333
Uzbekistan,2020-3,1,5.54,42.66666666666666
United Arab Emirates,2020-3,51,11.878658227848101,64.90590717299578
Netherlands,2020-3,617,11.619106921778277,62.755261676983686
Portugal,2020-3,61,13.040176470588236,71.3105580693816
Cayman Islands,2020-3,6,13.269523809523811,67.0
San Marino,2020-3,1,15.005,69.25277777777778
Saudi Arabia,2020-3,5,9.557416666666667,54.93055555555555
Ghana,2020-3,2,10.721900000000002,55.291666666666664
Italy,2020-3,428,12.297190784155214,64.28071948261925
